"KEY ISLAMIC SECTS, BRANCHES & MOVEMENTS ",,,% of muslims,millions,see the graphic here: http://www.informationisbeautiful.net/visualizations/islamic-sects/,,,http://www.pewforum.org/2009/10/07/mapping-the-global-muslim-population/
common name,,,,1620,detail,alt-name,source,http://en.wikipedia.org/wiki/Islamic_schools_and_branches
SUNNI,,,80%,1296,"orthodox, believe that Muhammad's father-in-law Abu Bakr succeeded him & venerate certain recoded oral traditions (hadith)",,,
Shafi'i,,,29%,469.8,"Yemen, Syria, Jordan, Samalia, Palestine, Malaysia, Kurds, SE Asia, East Africa",,,http://en.wikipedia.org/wiki/Shafi'i
Hanbali,,,15%,243,Qatar,,,http://en.wikipedia.org/wiki/Hanbali
,Wahabi / Salafist,,1%,8.1,"Saudi Arabia (30%), Qatar (47%), UAE (45%)",,,
,,Salafist jihadism,0.10%,1.62,"Al Qaeda, ISIS",,,
Hanafi,,,20%,324,"Turkey, Egypt",,,http://en.wikipedia.org/wiki/Hanafi
,Barelvi,,11%,170.1,"India (90%), Pakistan (60%) S & Central Asia, Afghanistan, Russia, Lower Egypt",,,http://en.wikipedia.org/wiki/Barelvi
,Deobandis,,,,"India, Pakistan (15%), Afghanistan, Bangladesh, UK",,,http://en.wikipedia.org/wiki/Deobandi
,,Tablighi Jamaat,0.50%,8.1,,,,http://en.wikipedia.org/wiki/Tablighi_Jamaat
,,Taliban,--,--,,,,http://en.wikipedia.org/wiki/Taliban
Maliki,,,15%,243,"North & West Africa, UAE, Kuwait, Upper Egypt",,,http://en.wikipedia.org/wiki/Maliki
unorthodox,,,1%,16.2,,,,
,Ahmadi,,0.75%,12.15,"Pakistan, area of India",,,http://en.wikipedia.org/wiki/Ahmadiyya
,Nation of Islam,,--,,USA,,,http://en.wikipedia.org/wiki/Nation_of_Islam
,,,,,,,,
,,,,,,,,
SHIA,,,20%,324,"believe Muhammad's cousin & son-in-law Ali succeeded him, slightly different beliefs & prayers, emphasise different recorded oral traditions (Hadith)",,,http://en.wikipedia.org/wiki/Shia_Islam
Ismaili,,,2%,32.4,Indo-Iranian,Seveners,,http://en.wikipedia.org/wiki/Isma'ilism
,Nizari,,,,,,,
,Musta'li,,,,Lebanon (45%) ,,,
,Satpanth,,,,,,,
,Druze,,,,,,,
Zaydiyyah,,,0.50%,8.1,"Yemen (50%), Saudi Arabia (6.5%)",fivers,,http://en.wikipedia.org/wiki/Zaidiyyah
Twelvers,,,12%,194.4,"Iran  (90%), Azerbaijan (70%), Bahrain (70%), Iraq (70%)",Ithna'ashari,,http://en.wikipedia.org/wiki/Twelver
,,,,,,,,
,,,,,,,,
KHARIJITES,,,,,,,,http://en.wikipedia.org/wiki/Khawarij
Ibadi,,,0.05%,0.81,Oman (35%),,,http://en.wikipedia.org/wiki/Ibadi
,,,,,,,,
,,,,,,,,
,,,,,,,,
SUFI,,,,,,,,http://en.wikipedia.org/wiki/Sufism
,,,,,pervade all Muslims,,,
,,,,,,,,
QURANISTS,,,,,hold the Qur'an to be the only authentic source of Islamic faith; reject the Hadith,,,http://en.wikipedia.org/wiki/Quranism
,,,unknown,,,,,
